"Start Year","IsCovidYear","is completed","total words","depression percent","anxiety percent","loneliness percent","distress percent","any word we want percent","depression num mentions","anxiety num mentions","loneliness num mentions","distress num mentions","any word we want num mentions","depression is mentioned","anxiety is mentioned","loneliness is mentioned","distress is mentioned","any word we want is mentioned"
"2016",0,0,261,"0.7662835249042146%","0.7662835249042146%","0.0%","0.0%","1.5325670498084292%",2,2,0,0,4,1,1,0,0,1
"2022",1,0,458,"0.6550218340611353%","0.0%","0.0%","0.2183406113537118%","0.8733624454148472%",3,0,0,1,4,1,0,0,1,1
"2018",0,0,500,"0.0%","0.8%","0.0%","0.0%","0.8%",0,4,0,0,4,0,1,0,0,1
"2018",0,0,534,"0.0%","0.7490636704119851%","0.0%","0.0%","0.7490636704119851%",0,4,0,0,4,0,1,0,0,1
"2020",0,0,172,"2.3255813953488373%","0.0%","0.0%","0.0%","2.3255813953488373%",4,0,0,0,4,1,0,0,0,1
"2021",1,0,1579,"0.1266624445851805%","0.0%","0.0%","0.1266624445851805%","0.253324889170361%",2,0,0,2,4,1,0,0,1,1
"2015",0,0,342,"0.0%","1.1695906432748537%","0.0%","0.0%","1.1695906432748537%",0,4,0,0,4,0,1,0,0,1
"2015",0,1,404,"0.9900990099009901%","0.0%","0.0%","0.0%","0.9900990099009901%",4,0,0,0,4,1,0,0,0,1
"2005",0,1,450,"0.6666666666666666%","0.0%","0.0%","0.2222222222222222%","0.8888888888888888%",3,0,0,1,4,1,0,0,1,1
"2012",0,0,700,"0.2857142857142857%","0.2857142857142857%","0.0%","0.0%","0.5714285714285714%",2,2,0,0,4,1,1,0,0,1
"2017",0,1,771,"0.38910505836575876%","0.0%","0.0%","0.1297016861219196%","0.5188067444876784%",3,0,0,1,4,1,0,0,1,1
"2018",0,0,562,"0.35587188612099646%","0.35587188612099646%","0.0%","0.0%","0.7117437722419929%",2,2,0,0,4,1,1,0,0,1
"2007",0,1,331,"0.9063444108761329%","0.0%","0.0%","0.3021148036253776%","1.2084592145015105%",3,0,0,1,4,1,0,0,1,1
"2014",0,1,62,"6.451612903225806%","0.0%","0.0%","0.0%","6.451612903225806%",4,0,0,0,4,1,0,0,0,1
"2020",0,1,172,"0.5813953488372093%","0.5813953488372093%","0.0%","0.5813953488372093%","1.744186046511628%",1,1,0,1,3,1,1,0,1,1
"2022",1,0,242,"0.0%","0.0%","0.0%","1.2396694214876034%","1.2396694214876034%",0,0,0,3,3,0,0,0,1,1
"2017",0,0,795,"0.0%","0.37735849056603776%","0.0%","0.0%","0.37735849056603776%",0,3,0,0,3,0,1,0,0,1
"2014",0,1,1732,"0.11547344110854503%","0.057736720554272515%","0.0%","0.0%","0.17321016166281755%",2,1,0,0,3,1,1,0,0,1
"2004",0,1,1052,"0.28517110266159695%","0.0%","0.0%","0.0%","0.28517110266159695%",3,0,0,0,3,1,0,0,0,1
"2019",0,1,85,"0.0%","2.3529411764705883%","0.0%","1.1764705882352942%","3.5294117647058822%",0,2,0,1,3,0,1,0,1,1
"2019",0,1,1069,"0.0%","0.0%","0.0%","0.2806361085126286%","0.2806361085126286%",0,0,0,3,3,0,0,0,1,1
"2020",0,0,1610,"0.18633540372670807%","0.0%","0.0%","0.0%","0.18633540372670807%",3,0,0,0,3,1,0,0,0,1
"2018",0,0,637,"0.3139717425431711%","0.0%","0.0%","0.15698587127158556%","0.47095761381475665%",2,0,0,1,3,1,0,0,1,1
"2006",0,1,687,"0.14556040756914118%","0.0%","0.0%","0.29112081513828236%","0.43668122270742354%",1,0,0,2,3,1,0,0,1,1
"2017",0,1,494,"0.6072874493927125%","0.0%","0.0%","0.0%","0.6072874493927125%",3,0,0,0,3,1,0,0,0,1
"2015",0,0,138,"2.1739130434782608%","0.0%","0.0%","0.0%","2.1739130434782608%",3,0,0,0,3,1,0,0,0,1
"2010",0,1,189,"1.0582010582010581%","0.0%","0.0%","0.5291005291005291%","1.5873015873015872%",2,0,0,1,3,1,0,0,1,1
"2021",1,0,2199,"0.09095043201455207%","0.04547521600727603%","0.0%","0.0%","0.1364256480218281%",2,1,0,0,3,1,1,0,0,1
"2016",0,0,2490,"0.040160642570281124%","0.08032128514056225%","0.0%","0.0%","0.12048192771084337%",1,2,0,0,3,1,1,0,0,1
"2021",1,0,888,"0.33783783783783783%","0.0%","0.0%","0.0%","0.33783783783783783%",3,0,0,0,3,1,0,0,0,1
"2022",1,0,203,"1.477832512315271%","0.0%","0.0%","0.0%","1.477832512315271%",3,0,0,0,3,1,0,0,0,1
"2004",0,1,238,"0.42016806722689076%","0.8403361344537815%","0.0%","0.0%","1.2605042016806722%",1,2,0,0,3,1,1,0,0,1
"2021",1,0,179,"1.675977653631285%","0.0%","0.0%","0.0%","1.675977653631285%",3,0,0,0,3,1,0,0,0,1
"2004",0,0,334,"0.5988023952095808%","0.2994011976047904%","0.0%","0.0%","0.8982035928143712%",2,1,0,0,3,1,1,0,0,1
"2020",0,0,267,"0.37453183520599254%","0.7490636704119851%","0.0%","0.0%","1.1235955056179776%",1,2,0,0,3,1,1,0,0,1
"2020",0,0,848,"0.2358490566037736%","0.1179245283018868%","0.0%","0.0%","0.35377358490566035%",2,1,0,0,3,1,1,0,0,1
"2020",0,0,330,"0.30303030303030304%","0.30303030303030304%","0.0%","0.30303030303030304%","0.9090909090909092%",1,1,0,1,3,1,1,0,1,1
"2011",0,1,254,"0.7874015748031497%","0.3937007874015748%","0.0%","0.0%","1.1811023622047245%",2,1,0,0,3,1,1,0,0,1
"2020",0,1,241,"0.0%","0.8298755186721992%","0.4149377593360996%","0.0%","1.2448132780082988%",0,2,1,0,3,0,1,1,0,1
"2019",0,0,181,"0.0%","1.6574585635359116%","0.0%","0.0%","1.6574585635359116%",0,3,0,0,3,0,1,0,0,1
"2018",0,1,600,"0.3333333333333333%","0.16666666666666666%","0.0%","0.0%","0.5%",2,1,0,0,3,1,1,0,0,1
"2019",0,1,222,"0.0%","0.9009009009009009%","0.45045045045045046%","0.0%","1.3513513513513513%",0,2,1,0,3,0,1,1,0,1
"2017",0,0,1994,"0.05015045135406219%","0.10030090270812438%","0.0%","0.0%","0.15045135406218657%",1,2,0,0,3,1,1,0,0,1
"2012",0,1,304,"0.6578947368421053%","0.32894736842105265%","0.0%","0.0%","0.986842105263158%",2,1,0,0,3,1,1,0,0,1
"2008",0,1,416,"0.4807692307692308%","0.2403846153846154%","0.0%","0.0%","0.7211538461538461%",2,1,0,0,3,1,1,0,0,1
"2013",0,1,1178,"0.08488964346349745%","0.08488964346349745%","0.0%","0.0%","0.1697792869269949%",1,1,0,0,2,1,1,0,0,1
"2022",1,1,330,"0.0%","0.6060606060606061%","0.0%","0.0%","0.6060606060606061%",0,2,0,0,2,0,1,0,0,1
"2021",1,0,119,"0.8403361344537815%","0.8403361344537815%","0.0%","0.0%","1.680672268907563%",1,1,0,0,2,1,1,0,0,1
"2019",0,1,466,"0.0%","0.0%","0.4291845493562232%","0.0%","0.4291845493562232%",0,0,2,0,2,0,0,1,0,1
"2015",0,1,398,"0.5025125628140703%","0.0%","0.0%","0.0%","0.5025125628140703%",2,0,0,0,2,1,0,0,0,1
"2021",1,0,187,"1.0695187165775402%","0.0%","0.0%","0.0%","1.0695187165775402%",2,0,0,0,2,1,0,0,0,1
"2019",0,1,280,"0.35714285714285715%","0.35714285714285715%","0.0%","0.0%","0.7142857142857143%",1,1,0,0,2,1,1,0,0,1
"2015",0,0,459,"0.4357298474945534%","0.0%","0.0%","0.0%","0.4357298474945534%",2,0,0,0,2,1,0,0,0,1
"2014",0,1,567,"0.0%","0.0%","0.0%","0.3527336860670194%","0.3527336860670194%",0,0,0,2,2,0,0,0,1,1
"2000",0,1,377,"0.26525198938992045%","0.26525198938992045%","0.0%","0.0%","0.5305039787798409%",1,1,0,0,2,1,1,0,0,1
"2022",1,0,118,"1.694915254237288%","0.0%","0.0%","0.0%","1.694915254237288%",2,0,0,0,2,1,0,0,0,1
"2019",0,1,263,"0.7604562737642585%","0.0%","0.0%","0.0%","0.7604562737642585%",2,0,0,0,2,1,0,0,0,1
"2021",1,0,115,"1.7391304347826086%","0.0%","0.0%","0.0%","1.7391304347826086%",2,0,0,0,2,1,0,0,0,1
"2012",0,0,384,"0.2604166666666667%","0.2604166666666667%","0.0%","0.0%","0.5208333333333334%",1,1,0,0,2,1,1,0,0,1
"2013",0,1,2232,"0.0%","0.0%","0.0%","0.08960573476702509%","0.08960573476702509%",0,0,0,2,2,0,0,0,1,1
"2021",1,0,80,"1.25%","1.25%","0.0%","0.0%","2.5%",1,1,0,0,2,1,1,0,0,1
"2011",0,0,445,"0.449438202247191%","0.0%","0.0%","0.0%","0.449438202247191%",2,0,0,0,2,1,0,0,0,1
"2006",0,1,267,"0.37453183520599254%","0.0%","0.0%","0.37453183520599254%","0.7490636704119851%",1,0,0,1,2,1,0,0,1,1
"2018",0,1,391,"0.2557544757033248%","0.2557544757033248%","0.0%","0.0%","0.5115089514066496%",1,1,0,0,2,1,1,0,0,1
"2014",0,1,193,"0.5181347150259067%","0.0%","0.0%","0.5181347150259067%","1.0362694300518134%",1,0,0,1,2,1,0,0,1,1
"2019",0,0,1854,"0.10787486515641856%","0.0%","0.0%","0.0%","0.10787486515641856%",2,0,0,0,2,1,0,0,0,1
"2015",0,1,396,"0.0%","0.0%","0.0%","0.5050505050505051%","0.5050505050505051%",0,0,0,2,2,0,0,0,1,1
"2018",0,1,1817,"0.0550357732526142%","0.0550357732526142%","0.0%","0.0%","0.1100715465052284%",1,1,0,0,2,1,1,0,0,1
"2014",0,1,473,"0.42283298097251587%","0.0%","0.0%","0.0%","0.42283298097251587%",2,0,0,0,2,1,0,0,0,1
"2012",0,1,840,"0.0%","0.0%","0.0%","0.23809523809523808%","0.23809523809523808%",0,0,0,2,2,0,0,0,1,1
"2013",0,1,312,"0.32051282051282054%","0.32051282051282054%","0.0%","0.0%","0.6410256410256411%",1,1,0,0,2,1,1,0,0,1
"2014",0,0,1904,"0.10504201680672269%","0.0%","0.0%","0.0%","0.10504201680672269%",2,0,0,0,2,1,0,0,0,1
"2016",0,0,1920,"0.0%","0.0%","0.0%","0.10416666666666667%","0.10416666666666667%",0,0,0,2,2,0,0,0,1,1
"2020",0,0,213,"0.4694835680751174%","0.4694835680751174%","0.0%","0.0%","0.9389671361502347%",1,1,0,0,2,1,1,0,0,1
"2019",0,0,726,"0.13774104683195593%","0.13774104683195593%","0.0%","0.0%","0.27548209366391185%",1,1,0,0,2,1,1,0,0,1
"2014",0,0,170,"1.1764705882352942%","0.0%","0.0%","0.0%","1.1764705882352942%",2,0,0,0,2,1,0,0,0,1
"2021",1,0,279,"0.0%","0.0%","0.0%","0.7168458781362007%","0.7168458781362007%",0,0,0,2,2,0,0,0,1,1
"2021",1,0,227,"0.8810572687224669%","0.0%","0.0%","0.0%","0.8810572687224669%",2,0,0,0,2,1,0,0,0,1
"2017",0,1,254,"0.3937007874015748%","0.3937007874015748%","0.0%","0.0%","0.7874015748031497%",1,1,0,0,2,1,1,0,0,1
